source,term_id,term_name,p_value,intersection_size
GO:BP,GO:0044281,small molecule metabolic process,3.3189809865854775e-23,277
GO:BP,GO:0009056,catabolic process,7.055529106354673e-21,374
GO:BP,GO:0019538,protein metabolic process,3.446852442201553e-20,564
GO:BP,GO:0090407,organophosphate biosynthetic process,9.538438305127642e-18,127
GO:BP,GO:0019637,organophosphate metabolic process,2.7973480477404956e-16,184
GO:BP,GO:0160307,protein biosynthetic process,2.846196133068373e-16,125
GO:BP,GO:0006412,translation,2.846196133068373e-16,125
GO:BP,GO:1901135,carbohydrate derivative metabolic process,9.48434089482608e-13,159
GO:BP,GO:0006753,nucleoside phosphate metabolic process,4.210070871549385e-12,120
GO:BP,GO:1901293,nucleoside phosphate biosynthetic process,4.7899398721473695e-12,74
GO:BP,GO:0055086,nucleobase-containing small molecule metabolic process,8.932050320832619e-12,122
GO:BP,GO:0033554,cellular response to stress,1.2767236757219044e-11,230
GO:BP,GO:0009060,aerobic respiration,2.1886324782904855e-11,65
GO:BP,GO:0000278,mitotic cell cycle,3.028997993713e-11,131
GO:BP,GO:1901137,carbohydrate derivative biosynthetic process,3.0347616963257055e-11,106
GO:BP,GO:0044283,small molecule biosynthetic process,3.873086170407214e-11,109
GO:BP,GO:0009057,macromolecule catabolic process,7.454807549046738e-11,203
GO:BP,GO:0006793,phosphorus metabolic process,1.0059317410309361e-10,291
GO:BP,GO:0007049,cell cycle,1.329758652783058e-10,170
GO:BP,GO:0006796,phosphate-containing compound metabolic process,1.459101989013445e-10,290
GO:BP,GO:0002181,cytoplasmic translation,1.7472383624403142e-10,50
GO:BP,GO:0043436,oxoacid metabolic process,3.208010754485114e-10,131
GO:BP,GO:0051301,cell division,5.71332310080813e-10,106
GO:BP,GO:0006082,organic acid metabolic process,5.78588212156853e-10,131
GO:BP,GO:0019752,carboxylic acid metabolic process,1.1878102537597683e-9,127
GO:BP,GO:0015980,energy derivation by oxidation of organic compounds,1.3528580950828257e-9,62
GO:BP,GO:0045333,cellular respiration,1.921960615389443e-9,53
GO:BP,GO:0007005,mitochondrion organization,2.172322329304297e-9,79
GO:BP,GO:0006629,lipid metabolic process,5.434054810962624e-9,196
GO:BP,GO:1903047,mitotic cell cycle process,7.825859542328045e-9,109
GO:BP,GO:0030163,protein catabolic process,8.05999502678435e-9,154
GO:BP,GO:0019941,modification-dependent protein catabolic process,2.7708619523472997e-8,111
GO:BP,GO:0046907,intracellular transport,3.8350554136033604e-8,146
GO:BP,GO:0006091,generation of precursor metabolites and energy,4.316818201311996e-8,64
